Name : ; Date : January 29, 2025, 9:32 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:06 am; Request Data : L903955|email:demo@demo.com|test|T|482324|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:06 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:06 am; Request Data : L903955|email:demo@demo.com|test|T|673124|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:07 am; Request Data : L903955|email:demo@demo.com|test|T|673124|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:07 am; Request Data : L903955|email:demo@demo.com|test|T|871496|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:07 am; Request Data : L903955|email:demo@demo.com|test|T|673124|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:08 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:10 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:10 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:13 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:15 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:16 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:16 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:16 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:16 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:19 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:20 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:20 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:22 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:23 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:23 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:24 am; Request Data : |||||||||||||||||NA
Name : ; Date : January 29, 2025, 10:24 am; Request Data : |||||||||||||||||NA
Name : ; Date : January 29, 2025, 10:25 am; Request Data : |||||||||||||||||NA
Name : ; Date : January 29, 2025, 10:25 am; Request Data : |||||||||||||||||NA
Name : ; Date : January 29, 2025, 10:26 am; Request Data : |||||||||||||||||NA
Name : ; Date : January 29, 2025, 10:26 am; Request Data : |||||||||||||||||NA
Name : test; Date : January 29, 2025, 10:29 am; Request Data : L903955|email:demo@demo.com|test|T|768813|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:29 am; Request Data : L903955|email:demo@demo.com|test|T|861967|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:31 am; Request Data : L903955|email:demo@demo.com|test|T|861967|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:31 am; Request Data : L903955|email:demo@demo.com|test|T|199460|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:32 am; Request Data : L903955|email:demo@demo.com|test|T|861967|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:32 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:32 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:33 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:33 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:33 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:34 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:35 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:35 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:36 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:36 am; Request Data : L903955|email:demo@demo.com|test|T|796969|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:37 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:37 am; Request Data : L903955|email:demo@demo.com|test|T|845764|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:38 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:39 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:39 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:40 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:41 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:41 am; Request Data : L903955|email:demo@demo.com|test|T|843836|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:41 am; Request Data : L903955|email:demo@demo.com|test|T|843836|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:41 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:42 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:42 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:42 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:42 am; Request Data : L903955|email:demo@demo.com|test|T|190330|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:43 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:44 am; Request Data : L903955|email:demo@demo.com|test|T|400482|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:45 am; Request Data : L903955|email:demo@demo.com|test|T|400482|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:45 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:45 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:46 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:47 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:47 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:47 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:48 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:48 am; Request Data : L903955|email:demo@demo.com|test|T|224958|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:49 am; Request Data : L903955|email:demo@demo.com|test|T|224958|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:49 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:49 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:49 am; Request Data : L903955|email:demo@demo.com|test|T|82677|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:51 am; Request Data : L903955|email:demo@demo.com|test|T|82677|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 10:51 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 10:51 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 10:51 am; Request Data : L903955|email:demo@demo.com|test|T|199448|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:52 am; Request Data : L903955|email:demo@demo.com|test|T|303112|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:52 am; Request Data : L903955|email:demo@demo.com|test|T|490938|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:52 am; Request Data : L903955|email:demo@demo.com|test|T|898553|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:53 am; Request Data : L903955|email:demo@demo.com|test|T|490938|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:53 am; Request Data : L903955|email:demo@demo.com|test|T|907773|NaN|INR|https://app.iritaq.info/entrance/home/response|FIRST_NaN_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:58 am; Request Data : L903955|email:demo@demo.com|test|T|796969|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:58 am; Request Data : L903955|email:demo@demo.com|test|T|232866|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:59 am; Request Data : L903955|email:demo@demo.com|test|T|110852|NaN|INR|https://app.iritaq.info/entrance/home/response|FIRST_NaN_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:59 am; Request Data : L903955|email:demo@demo.com|test|T|110852|NaN|INR|https://app.iritaq.info/entrance/home/response|FIRST_NaN_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 10:59 am; Request Data : L903955|email:demo@demo.com|test|T|237110|NaN|INR|https://app.iritaq.info/entrance/home/response|FIRST_NaN_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:01 am; Request Data : L903955|email:demo@demo.com|test|T|111474|NaN|INR|https://app.iritaq.info/entrance/home/response|FIRST_NaN_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:20 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:20 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:24 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:26 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:26 am; Request Data : L903955|email:demo@demo.com|test|T|442608|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:27 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:27 am; Request Data : L903955|email:demo@demo.com|test|T|15449|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:28 am; Request Data : L903955|email:demo@demo.com|test|T|15449|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:28 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:28 am; Request Data : L903955|email:demo@demo.com|test|T|36650|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:30 am; Request Data : L903955|email:demo@demo.com|test|T|166066|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:32 am; Request Data : L903955|email:demo@demo.com|test|T|166066|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:32 am; Request Data : L903955|email:demo@demo.com|test|T|906237|NaN|INR|https://app.iritaq.info/entrance/home/response|FIRST_NaN_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:32 am; Request Data : L903955|email:demo@demo.com|test|T|254546|NaN|INR|https://app.iritaq.info/entrance/home/response|FIRST_NaN_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:33 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:34 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:35 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:39 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:54 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:54 am; Request Data : L903955|email:demo@demo.com|test|T|1981|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:54 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:54 am; Request Data : L903955|email:demo@demo.com|test|T|1981|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:54 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:55 am; Request Data : L903955|email:demo@demo.com|test|T|1981|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:55 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:55 am; Request Data : L903955|email:demo@demo.com|test|T|1981|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:55 am; Request Data : L903955|email:demo@demo.com|test|T|1981|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : ; Date : January 29, 2025, 11:56 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : ; Date : January 29, 2025, 11:56 am; Request Data : |||||500.00|||||||||1002627522EVEKBG|7553380127SXSDQU||
Name : test; Date : January 29, 2025, 11:56 am; Request Data : L903955|email:demo@demo.com|test|T|1981|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
Name : test; Date : January 29, 2025, 11:56 am; Request Data : L903955|email:demo@demo.com|test|T|1981|500.00|INR|https://app.iritaq.info/entrance/home/response|FIRST_500.00_0.0|||2025-01-29|470|19872627|1002627522EVEKBG|7553380127SXSDQU||https://www.tpsl-india.in/PaymentGateway/TransactionDetailsNew.wsdl
